Data Storage (GB),Software Licenses,Type of machine,GPU,File import,Export file size (MB),Time period,Cost in pounds
50,Face,4_16,NV12s v3,Yes,2000,18,5487.9454
50,Face,8_32,NV12s v3,Yes,0,3,4230.4318
250,Face,4_16,NC12 Promo,Yes,0,18,16756.8454
50,Immersive Reader,16_64,NC12,Yes,1000,18,11628.6878
100,None,64_256,NV12,Yes,2000,3,13122.7295
100,Immersive Reader,32_128,NC12 Promo,No,500,18,23728.8594
100,Speech Services,16_64,None,Yes,0,18,13117.9578
250,Immersive Reader,8_32,NV12s v3,No,500,18,18779.1908
100,Immersive Reader,64_256,NC12 Promo,Yes,1000,12,7501.3221
50,None,8_32,NC12,No,5000,18,7941.3708
750,Immersive Reader,32_128,NC12,Yes,0,12,44864.7087
50,None,32_128,NV12,No,5000,18,21862.0494
50,Speech Services,64_256,NV12s v3,Yes,2000,6,15229.479
750,Face,64_256,NV12,Yes,5000,6,56135.049
500,Immersive Reader,16_64,None,Yes,1000,6,31109.2626
500,Text Analytics,16_64,NV12s v3,Yes,1000,12,29626.4816
1000,Speech Services,32_128,NV12,No,100,3,61721.7649
1000,Speech Services,8_32,NC12,No,100,18,62295.2608
750,Text Analytics,8_32,NC12 Promo,No,500,18,47236.4308
1000,None,32_128,NC12,Yes,5000,3,61516.0549
500,Immersive Reader,8_32,NV12s v3,Yes,100,12,29501.5108
100,Text Analytics,4_16,NC12 Promo,Yes,100,6,6939.7218
500,Face,4_16,NV12,Yes,500,18,32062.8454
100,Speaker,8_32,NV12,No,500,12,7447.6708
1000,Text Analytics,8_32,NV12,Yes,5000,12,58967.0208
1000,None,8_32,NV12s v3,Yes,2000,6,59245.8436
50,Speech Services,16_64,None,Yes,1000,36,3034.2716
250,Face,64_256,NV12s v3,Yes,2000,12,16244.4521
750,Immersive Reader,4_16,NC12,No,1000,12,44362.6304
1000,Face,16_64,NV12,No,2000,12,59084.1016
250,Speaker,4_16,NC12 Promo,No,1000,12,14995.0404
500,Text Analytics,4_16,NV12s v3,Yes,500,6,29997.0818
100,None,16_64,NV12,No,0,18,14695.4978
1000,None,16_64,NV12s v3,Yes,100,18,65387.9778
1000,None,4_16,None,No,2000,24,59731.2072
50,Face,32_128,NV12,No,100,18,21841.0594
250,Immersive Reader,16_64,NC12,No,100,18,23064.6978
250,Text Analytics,64_256,NC12 Promo,Yes,500,12,16074.1821
100,Speaker,4_16,None,Yes,5000,12,5827.8904
50,Speaker,32_128,NC12,Yes,500,3,7134.7249
50,Face,4_16,NC12,No,1000,6,4847.4018
1000,Face,16_64,None,Yes,5000,6,59736.7626
50,Text Analytics,16_64,NC12,Yes,1000,12,4467.9816
250,Speaker,32_128,NC12,No,2000,6,21493.4198
100,None,16_64,NV12s v3,No,100,12,6718.6516
100,Face,16_64,NC12 Promo,No,5000,18,13743.4378
1000,Speech Services,32_128,None,Yes,2000,36,57649.7859
250,Face,16_64,NC12,Yes,5000,3,16922.6113
750,Speech Services,8_32,NV12,Yes,2000,6,45764.8536
750,Immersive Reader,16_64,NV12s v3,Yes,500,18,51091.1578
50,Immersive Reader,32_128,NV12s v3,No,5000,12,4227.0287
50,Speaker,4_16,NV12s v3,Yes,1000,18,5493.4154
50,Immersive Reader,32_128,NV12,No,2000,18,21863.2294
50,Face,64_256,NC12,No,0,6,15808.169
1000,None,16_64,NC12,No,5000,3,59849.5513
1000,Face,8_32,NV12s v3,No,5000,18,61722.5908
100,Speech Services,8_32,None,Yes,100,18,9431.5208
50,Text Analytics,64_256,None,Yes,100,18,37653.667
500,Face,64_256,NV12,Yes,100,3,36003.5995
500,Immersive Reader,64_256,None,No,5000,6,40251.859
50,Speaker,8_32,NV12s v3,Yes,100,6,4864.5036
50,Speech Services,16_64,NV12,Yes,500,3,5683.4913
100,Face,32_128,NV12s v3,Yes,2000,18,23891.9894
500,Face,64_256,NV12s v3,Yes,5000,18,64186.857
500,None,32_128,None,No,5000,24,51840.0592
100,Speech Services,4_16,NC12 Promo,Yes,1000,3,6643.1609
1000,None,32_128,NC12,Yes,0,6,64385.3798
50,Speaker,16_64,NC12 Promo,No,500,18,10875.0078
750,Text Analytics,32_128,NC12,Yes,100,3,47182.2749
1000,Face,64_256,None,Yes,1000,24,103641.536
50,Speaker,8_32,NC12,No,1000,12,4362.0908
250,Immersive Reader,32_128,NC12,Yes,1000,6,21480.3098
100,None,16_64,NV12s v3,No,5000,3,7734.4113
500,Speaker,8_32,NC12,Yes,500,18,33695.6608
250,Speaker,64_256,NC12 Promo,No,5000,3,20744.5095
100,Text Analytics,4_16,None,Yes,500,18,7586.5454
500,Speaker,8_32,NV12s v3,Yes,1000,18,33102.2408
1000,Immersive Reader,64_256,NV12s v3,No,500,18,92793.117
250,Speaker,32_128,NV12,Yes,500,6,21711.0598
250,Face,4_16,NC12 Promo,Yes,100,6,15528.5418
250,Text Analytics,16_64,NV12s v3,No,100,6,17528.8526
750,Speaker,32_128,NC12 Promo,No,1000,3,46453.6249
250,Speaker,8_32,NV12,No,2000,6,17159.2736
750,Speech Services,8_32,NC12 Promo,No,1000,3,44157.4818
250,Speech Services,64_256,NC12 Promo,No,5000,6,26527.889
50,Speaker,32_128,NC12,No,5000,6,10051.4398
500,Immersive Reader,64_256,NC12 Promo,Yes,1000,6,40833.049
50,Immersive Reader,64_256,NV12s v3,Yes,500,18,38415.377
250,Face,8_32,NV12s v3,Yes,0,18,18763.2808
750,None,4_16,NV12,Yes,500,3,44827.4609
250,Speech Services,8_32,NC12 Promo,No,5000,18,18634.4408
100,Face,4_16,NV12s v3,No,2000,12,6559.1004
50,Text Analytics,16_64,None,No,0,36,3016.6816
250,Speaker,32_128,NV12,Yes,500,6,21711.0598
50,Speaker,4_16,NC12,Yes,0,12,4284.3804
1000,Immersive Reader,64_256,None,No,0,24,103628.226
500,Immersive Reader,4_16,NC12 Promo,No,1000,3,29546.2009
500,Speech Services,64_256,None,Yes,5000,6,40244.719
100,Face,16_64,NC12,No,500,12,7326.8616
1000,Text Analytics,32_128,NV12,No,2000,6,64638.4898
750,Immersive Reader,16_64,NC12 Promo,No,0,3,44762.3813
750,None,8_32,None,No,0,12,43050.0408
500,None,4_16,NV12s v3,Yes,5000,18,31248.9254
50,Immersive Reader,32_128,NC12 Promo,No,1000,6,9277.4998
500,Immersive Reader,16_64,NV12,No,5000,18,37628.0478
50,Speaker,8_32,NC12,Yes,100,3,4846.9018
250,Text Analytics,8_32,NV12s v3,No,1000,3,15693.1018
250,Speech Services,4_16,NV12s v3,No,500,18,16921.1054
100,None,32_128,NV12s v3,No,0,3,9371.4049
100,Face,16_64,None,Yes,5000,18,13150.3278
1000,Speech Services,8_32,NV12,Yes,1000,3,59451.8418
100,Face,16_64,NV12,Yes,500,6,9780.6626
100,Immersive Reader,32_128,NC12,Yes,1000,18,24489.6894
750,Speech Services,32_128,NV12s v3,Yes,1000,6,49493.6598
750,None,64_256,NC12,Yes,1000,18,79081.387
500,Face,32_128,NC12 Promo,No,1000,18,46626.4394
50,None,4_16,None,No,1000,36,2918.2529
500,Speaker,4_16,NV12s v3,Yes,1000,6,30017.3318
100,Face,4_16,None,No,2000,12,5810.5004
750,None,32_128,None,Yes,0,12,43509.5887
750,Text Analytics,64_256,None,Yes,100,3,48733.1295
500,Text Analytics,8_32,NC12,No,500,18,33681.3708
750,Face,8_32,NC12 Promo,No,500,3,44154.3818
750,Immersive Reader,64_256,NC12 Promo,No,500,12,44701.1921
50,Face,8_32,NV12,No,100,12,4568.2908
100,Face,32_128,None,Yes,1000,3,8643.2549
250,Face,16_64,NV12s v3,Yes,2000,6,17549.6026
100,Face,16_64,NV12s v3,Yes,100,18,13875.0778
750,Face,4_16,NV12,Yes,500,18,46372.7754
1000,Face,8_32,NC12,No,500,6,59836.1636
250,Face,8_32,NC12 Promo,Yes,500,18,18619.4208
